TYLER OBRIEN SHULTZ
Iteration,Time,Sensor,Type,Value
0,0,0,BSA,0
0,1,1,BSA,0
0,1,6,BSA,0
0,1,7,BSA,0
0,1,8,BSA,0
0,1,9,BSA,0
0,1,14,BSA,0
0,1,15,BSA,0
0,1,24,THC,0
0,1,25,THC,0
0,1,30,THC,0
0,1,31,THC,0
0,1,32,THC,0
0,1,33,THC,0
0,1,38,THC,0
0,1,39,THC,0
0,1,44,BSA,0
0,1,48,BIOTIN,0
0,1,55,BIOTIN,1
0,1,56,BIOTIN,1
0,1,63,BIOTIN,1
0,1,69,THC,0
1,1,0,BSA,0
1,1,1,BSA,0
1,2,6,BSA,0
1,2,7,BSA,0
1,2,8,BSA,0
1,2,9,BSA,0
1,2,14,BSA,0
1,2,15,BSA,0
1,2,24,THC,0
1,2,25,THC,0
1,2,30,THC,0
1,2,31,THC,0
1,2,32,THC,0
1,2,33,THC,0
1,2,38,THC,1
1,2,39,THC,1
1,2,44,BSA,0
1,2,48,BIOTIN,1
1,2,55,BIOTIN,2
1,2,56,BIOTIN,2
1,2,63,BIOTIN,2
1,2,69,THC,1
2,2,0,BSA,0
2,2,1,BSA,0
2,2,6,BSA,0
2,2,7,BSA,0
2,2,8,BSA,0
2,3,9,BSA,0
2,3,14,BSA,0
2,3,15,BSA,0
2,3,24,THC,0
2,3,25,THC,0
2,3,30,THC,1
2,3,31,THC,1
2,3,32,THC,1
2,3,33,THC,1
2,3,38,THC,1
2,3,39,THC,1
2,3,44,BSA,0
2,3,48,BIOTIN,2
2,3,55,BIOTIN,3
2,3,56,BIOTIN,3
2,3,63,BIOTIN,3
2,3,69,THC,2
3,3,0,BSA,0
3,3,1,BSA,0
3,3,6,BSA,0
3,3,7,BSA,0
3,3,8,BSA,0
3,3,9,BSA,0
3,3,14,BSA,0
3,3,15,BSA,0
3,3,24,THC,0
3,4,25,THC,1
3,4,30,THC,1
3,4,31,THC,1
3,4,32,THC,1
3,4,33,THC,1
3,4,38,THC,1
3,4,39,THC,2
3,4,44,BSA,1
3,4,48,BIOTIN,3
3,4,55,BIOTIN,4
3,4,56,BIOTIN,4
3,4,63,BIOTIN,4
3,4,69,THC,3
4,4,0,BSA,0
4,4,1,BSA,0
4,4,6,BSA,0
4,4,7,BSA,0
4,4,8,BSA,0
4,4,9,BSA,0
4,4,14,BSA,0
4,4,15,BSA,0
4,4,24,THC,1
4,4,25,THC,1
4,4,30,THC,1
4,4,31,THC,1
4,4,32,THC,1
4,4,33,THC,1
4,4,38,THC,1
4,5,39,THC,2
4,5,44,BSA,1
4,5,48,BIOTIN,4
4,5,55,BIOTIN,5
4,5,56,BIOTIN,5
4,5,63,BIOTIN,6
4,5,69,THC,4
5,5,0,BSA,0
5,5,1,BSA,0
5,5,6,BSA,0
5,5,7,BSA,0
